	latitude	longitude	bearing
big_ben	51.50074063550501	-0.12464291288003893	172.0704752085349
lambeth_bridge	51.494556098320565	-0.12325910750424128	172.0704752085349
vauxhall_bridge	51.48761110300114	-0.12713882036785232	19.177489923739927
chelsea_bridge	51.48458091614735	-0.14978761453534312	77.86528602602027
albert_bridge	51.48225857534889	-0.16666794469011154	77.53564035182023
wandsworth_bridge	51.46507294437697	-0.18795071145092526	66.64365489719694
putney_bridge	51.466993659547576	-0.2129014426895962	119.74161378088027
stairs	51.46830623090797	-0.21367508021308793	126.87584496757056
black_buoy	51.47115191654548	-0.22097275345557219	139.50291669673805
barn_elms	51.47382223569997	-0.22504617731371332	154.65730349605084
harrods	51.48473545360407	-0.2283121386063756	161.71753875318845
hammersmith_bridge	51.48832785121878	-0.23029374012355042	132.19123903305916
dove_pier	51.48996785880844	-0.23445879820514612	99.78706532983006
chiswick_eyot_putney	51.48837045240089	-0.2442324130528454	46.65236931135758
chiswick_eyot_mortlake	51.48658094853175	-0.24761599534990764	48.11339655040189
bandstand	51.47658497581858	-0.25228919819230633	15.488736672440876
barnes_bridge	51.47272510275603	-0.2537556670587012	43.61029702816362
boat_race_finish	51.47190983740472	-0.2691013106604467	121.95299433107253
chiswick_bridge	51.47311980019483	-0.26980283716526177	136.99978013602922
kew_railway	51.48383341953671	-0.2795428889352272	134.14513247543601
kew_bridge	51.487066110038135	-0.2874684877245448	101.58785803939122
richmond_lock	51.46221520341264	-0.3172481649764547	131.03227179061628
